,user,text,favorite_count,retweet_count,created_at
42,ChennaiIPL,"Venn Pongal and Matinee Action Combo! 💥

Leo is sorted, Annachi! 🥳🇮🇳

#INDvSL #WhistlePodu 🦁💛 https://t.co/wHGvx8eXgR",1348,70,2023-01-15 07:10:40+00:00
43,ChennaiIPL,Also wishing you all a Yellovely Makar Sankranti and Bihu! 💛🥳,859,39,2023-01-15 05:50:31+00:00
44,ChennaiIPL,@VJothiLakshmi1 Yellove in the heart of it! 💛,12,0,2023-01-15 05:46:35+00:00
45,ChennaiIPL,"The duo that knocks! 🔥💥

#WhistlePodu #Yellove 🦁💛
@benstokes38 @imjadeja https://t.co/hOkcoGvUbE",13110,847,2023-01-15 05:17:31+00:00
46,ChennaiIPL,"Super Pongal, All! Drop your Yellovely Kolams here for us to see and like! 💛

#WhistlePodu #Yellove 🦁💛",2729,147,2023-01-15 04:18:53+00:00
47,ChennaiIPL,"Whistle o Pongal to all the sweet superfans! May you harvest Yellove and all good fortune! 🥳💛

#SuperPongal #WhistlePodu 🦁💛 https://t.co/HT8ZvHbOQY",3985,244,2023-01-15 02:40:23+00:00
48,ChennaiIPL,"Runs and Poses! 📸 
A Shweta Shefali show to start the campaign! 🥳🇮🇳

#INDWvSAW #Whistle4Blue #U19T20WorldCup
📸: @BCCIWomen https://t.co/AT27WIqz95",1970,91,2023-01-14 16:04:44+00:00
49,ChennaiIPL,"He came. He saw. He conquered! 🦁
DC on a streak! ⚡️

#PAKvNZ #WhistlePodu 🦁 https://t.co/9qH8yhYRrj",2017,110,2023-01-14 13:43:32+00:00
50,ChennaiIPL,"This Saturday Evening, put your Cricket IQ to test.! 

✍🏼 your answers… 💛🦁 https://t.co/LdpI4QVh7C",2010,86,2023-01-14 12:57:18+00:00
51,ChennaiIPL,"‘Super’ recognises ‘Super’! 
Do you agree ? 💛

#WhistlePodu #Yellove 🦁💛 https://t.co/EndVoCpTuS",2671,136,2023-01-14 12:53:28+00:00
52,ChennaiIPL,"For he’s a Jolly good coach! 🥳
1️⃣4️⃣ Mins of 💛

#WhistlePodu 🦁💛 https://t.co/ZctD2mJVSp",1284,67,2023-01-14 09:24:36+00:00
53,ChennaiIPL,"Call of National Duty! 🇮🇳
The prelude to the cricket summer of 2023! 🥳🔜

#INDvNZ #INDvAUS #WhistlePodu 🦁💛 https://t.co/E6kXcWbyij",3533,206,2023-01-14 04:57:51+00:00
